VarName1,VarName2,VarName3,VarName4,VarName5,VarName6,VarName7
183.23,27869.0565379899,0,-3891.57745806629,-0,-37.9770456988916,-0
183.24,27870.3966659288,0,-3890.53121493611,-0,-37.9815499314499,-0
183.25,27871.7367116269,0,-3889.4848664556,-0,-37.9860537105828,-0
183.26,27873.0766750781,0,-3888.4384126424,-0,-37.9905572625854,-0
183.27,27874.4165562802,0,-3887.39185350241,-0,-37.9950608145323,-0
183.28,27875.7563552292,0,-3886.34518904742,-0,-37.9995639114397,-0
183.29,27877.0960719189,0,-3885.2984192951,-0,-38.0040667804097,-0
183.3,27878.4357063472,0,-3884.25154425136,-0,-38.008569649324,-0
183.31,27879.77525851,0,-3883.20456392799,-0,-38.0130720615846,-0
183.32,27881.1147284012,0,-3882.15747834271,-0,-38.0175742451008,-0
183.33,27882.4541160188,0,-3881.11028750142,-0,-38.0220764285614,-0
183.34,27883.7934213586,0,-3880.06299141595,-0,-38.0265781537541,-0
183.35,27885.1326444145,0,-3879.01559010403,-0,-38.0310796493953,-0
183.36,27886.4717851845,0,-3877.96808357158,-0,-38.0355811449809,-0
183.37,27887.8108436646,0,-3876.92047183043,-0,-38.0400821806844,-0
183.38,27889.1498198486,0,-3875.87275489835,-0,-38.0445829860295,-0
183.39,27890.4887137345,0,-3874.82493278127,-0,-38.0490837913189,-0
183.4,27891.8275253183,0,-3873.77700549103,-0,-38.0535841351122,-0
183.41,27893.166254594,0,-3872.72897304544,-0,-38.0580842477399,-0
183.42,27894.5049015594,0,-3871.68083545042,-0,-38.062584360312,-0
183.43,27895.8434662106,0,-3870.63259271785,-0,-38.0670840097738,-0
183.44,27897.1819485416,0,-3869.58424486555,-0,-38.0715834272629,-0
183.45,27898.5203485504,0,-3868.53579189945,-0,-38.0760828446965,-0
183.46,27899.8586662328,0,-3867.48723383145,-0,-38.0805817974056,-0
183.47,27901.1969015831,0,-3866.4385706794,-0,-38.0850805173351,-0
183.48,27902.5350545991,0,-3865.38980244924,-0,-38.0895792372089,-0
183.49,27903.8731252788,0,-3864.34092914693,-0,-38.0940777240064,-0
183.5,27905.2111136164,0,-3863.29195079034,-0,-38.0985757439272,-0
183.51,27906.5490196462,0,-3862.24286745735,-0,-38.103068668287,-0
183.52,27907.8868434066,0,-3861.1936792139,-0,-38.1075615926468,-0
183.53,27909.2245848955,0,-3860.14438606578,-0,-38.1120542994138,-0
183.54,27910.5622441087,0,-3859.09498802451,-0,-38.1165467882984,-0
183.55,27911.8998210441,0,-3858.04548509587,-0,-38.1210392771278,-0
183.56,27913.2373156973,0,-3856.9958772914,-0,-38.1255313293521,-0
183.57,27914.5747280622,0,-3855.94616462842,-0,-38.1300231628259,-0
